,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12055,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19858493.0,19858493.0,False,,1,,,,2025-05-01T09:21:00.000Z,95307.2377682184,28998355916.744705,17.4721,0.19910025,0.60725153,3.20324968,13.146665,11.05670034,-8.30913777,1892658114069.5007,63.6235,2001451993132.59,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
1,1027,Ethereum,ETH,ethereum,10157,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120732850.38493092,120732850.38493092,True,,2,,,,2025-05-01T09:20:00.000Z,1815.8973814954784,14376326947.711489,6.4502,0.06363569,0.96791733,4.21153788,-3.6247533,-18.1106165,-43.9259105,219238466874.4814,7.3699,219238466874.48,,2025-05-01T09:20:00.000Z,,,,,,2025-05-01 17:22:04.416424
2,825,Tether USDt,USDT,tether,126390,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,148686251589.6457,151514597812.89557,True,,3,,,,2025-05-01T09:20:00.000Z,1.000146853561559,60455096822.45773,8.0741,-0.03085134,-0.00260005,0.00014153,0.02777844,0.05637668,0.02960792,148708086695.2465,4.9977,151536848271.21,,2025-05-01T09:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-01 17:22:04.416424
3,52,XRP,XRP,xrp,1597,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58444738299.0,99986207937.0,False,,4,,,,2025-05-01T09:20:00.000Z,2.2057144315105695,3307183136.120047,12.0095,-0.10312445,-0.8568763,3.01402449,1.08282491,-2.40915822,-28.0858887,128912402711.96278,4.3335,220571443151.06,,2025-05-01T09:20:00.000Z,,,,,,2025-05-01 17:22:04.416424
4,1839,BNB,BNB,bnb,2505,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140890066.82999998,140890066.82999998,False,,5,,,,2025-05-01T09:21:00.000Z,601.316574349425,1464069889.082004,-7.0122,0.09313312,-0.30383594,0.86059296,-2.48133006,-1.03342521,-11.17813736,84719532346.07713,2.8472,84719532346.08,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
5,5426,Solana,SOL,solana,909,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,517858346.81088555,599765957.9801275,True,,6,,,,2025-05-01T09:20:00.000Z,150.59948904178353,3128160770.8219585,16.5792,-0.00304686,2.3734794,2.51057263,16.79426357,5.36685764,-35.76307211,77989202425.7421,2.6217,90324446816.46,,2025-05-01T09:20:00.000Z,,,,,,2025-05-01 17:22:04.416424
6,3408,USDC,USDC,usd-coin,27501,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61542269040.25496,61542269040.25496,False,,7,,,,2025-05-01T09:21:00.000Z,1.000200656680797,9862321032.772,17.1009,0.02985485,0.01331134,0.01240582,0.01936814,0.02773554,0.02630877,61554617907.68929,2.0692,61554617907.69,,2025-05-01T09:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-01 17:22:04.416424
7,74,Dogecoin,DOGE,dogecoin,1214,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149079486383.70526,149079476383.70526,True,,8,,,,2025-05-01T09:21:00.000Z,0.17599666175127027,933933545.6830877,5.231,0.0417223,0.83592447,2.22319805,1.12949157,-14.56087671,-46.08145393,26237491939.126076,0.8818,26237490179.16,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
8,2010,Cardano,ADA,cardano,1510,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35302796703.74389,44995001398.801895,False,,9,,,,2025-05-01T09:21:00.000Z,0.6972612202485301,674413872.0742561,-11.0428,0.46434952,0.1469342,2.76848761,2.28975628,5.26886659,-26.39263684,24615271107.83825,0.8273,31376754911.18,,2025-05-01T09:21:00.000Z,,,,,,2025-05-01 17:22:04.416424
9,1958,TRON,TRX,tron,1169,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94929228639.75595,94929163827.24689,True,,10,,,,2025-05-01T09:20:00.000Z,0.24946528594347014,460094148.18416315,3.7761,0.38673414,1.87828833,2.44907549,6.60100448,7.20500106,-1.79102657,23681547167.009773,0.7959,23681530998.54,,2025-05-01T09:20:00.000Z,,,,,,2025-05-01 17:22:04.416424
